invoice_id,subscription_id,customer_id,invoice_date,due_date,paid_date,amount,discount_amount,final_amount,status,billing_period_start,billing_period_end,created_at
inv_10bfa453,sub_83cefbca,cust_3f380b72,2024-07-27,2024-08-26,2024-07-29,164700,16470.0,148230.0,paid,2024-07-27,2025-07-26,2024-07-27
inv_18da6ee3,sub_bc8e8bfd,cust_78e35adb,2024-08-11,2024-09-10,2024-08-27,19584,3916.8,15667.2,paid,2024-08-11,2024-09-09,2024-08-11
inv_71c67e3f,sub_bc8e8bfd,cust_78e35adb,2024-09-10,2024-10-10,2024-10-07,19584,4896.0,14688.0,paid,2024-09-10,2024-10-09,2024-09-10
inv_e588ed11,sub_bc8e8bfd,cust_78e35adb,2024-10-10,2024-11-09,2024-10-30,19584,1958.4,17625.6,paid,2024-10-10,2024-11-08,2024-10-10
inv_052711eb,sub_bc8e8bfd,cust_78e35adb,2024-11-09,2024-12-09,2024-11-29,19584,0.0,19584.0,paid,2024-11-09,2024-12-08,2024-11-09
inv_a718e947,sub_bc8e8bfd,cust_78e35adb,2024-12-09,2025-01-08,2024-12-10,19584,0.0,19584.0,paid,2024-12-09,2025-01-07,2024-12-09
inv_f3c0afdf,sub_fb1a76b8,cust_0a9a3d5d,2024-09-26,2024-10-26,2024-10-18,6,0.0,6.0,paid,2024-09-26,2024-10-25,2024-09-26
inv_cc2bfe56,sub_fb1a76b8,cust_0a9a3d5d,2024-10-26,2024-11-25,2024-11-18,6,0.0,6.0,paid,2024-10-26,2024-11-24,2024-10-26
inv_a898d600,sub_fb1a76b8,cust_0a9a3d5d,2024-11-25,2024-12-25,2024-12-05,6,0.0,6.0,paid,2024-11-25,2024-12-24,2024-11-25
inv_7ae16001,sub_fb1a76b8,cust_0a9a3d5d,2024-12-25,2025-01-24,2025-01-13,6,0.0,6.0,paid,2024-12-25,2025-01-23,2024-12-25
inv_773dbb1f,sub_0a4ddfb8,cust_408dbc4b,2024-05-26,2024-06-25,2024-06-08,0,0.0,0.0,paid,2024-05-26,2024-06-24,2024-05-26
inv_af5b735e,sub_0a4ddfb8,cust_408dbc4b,2024-06-25,2024-07-25,2024-07-10,0,0.0,0.0,paid,2024-06-25,2024-07-24,2024-06-25
inv_b9394abe,sub_0a4ddfb8,cust_408dbc4b,2024-07-25,2024-08-24,2024-07-26,0,0.0,0.0,paid,2024-07-25,2024-08-23,2024-07-25
inv_1e51ca49,sub_0a4ddfb8,cust_408dbc4b,2024-08-24,2024-09-23,2024-09-06,0,0.0,0.0,paid,2024-08-24,2024-09-22,2024-08-24
inv_85f6da57,sub_0a4ddfb8,cust_408dbc4b,2024-09-23,2024-10-23,2024-10-14,0,0.0,0.0,paid,2024-09-23,2024-10-22,2024-09-23
inv_e99a65f9,sub_0a4ddfb8,cust_408dbc4b,2024-10-23,2024-11-22,2024-11-07,0,0.0,0.0,paid,2024-10-23,2024-11-21,2024-10-23
inv_313180c8,sub_0a4ddfb8,cust_408dbc4b,2024-11-22,2024-12-22,2024-11-27,0,0.0,0.0,paid,2024-11-22,2024-12-21,2024-11-22
inv_a12b1d4f,sub_0a4ddfb8,cust_408dbc4b,2024-12-22,2025-01-21,2024-12-31,0,0.0,0.0,paid,2024-12-22,2025-01-20,2024-12-22
inv_f8588a6a,sub_7a4d54e9,cust_7c6b02b2,2024-07-06,2024-08-05,2024-07-23,6,0.0,6.0,paid,2024-07-06,2024-08-04,2024-07-06
inv_2bda9fc0,sub_7a4d54e9,cust_7c6b02b2,2024-08-05,2024-09-04,2024-08-17,6,1.2000000000000002,4.8,paid,2024-08-05,2024-09-03,2024-08-05
inv_19d8d051,sub_7a4d54e9,cust_7c6b02b2,2024-09-04,2024-10-04,2024-09-21,6,1.2000000000000002,4.8,paid,2024-09-04,2024-10-03,2024-09-04
inv_fe995360,sub_7a4d54e9,cust_7c6b02b2,2024-10-04,2024-11-03,2024-10-16,6,0.0,6.0,paid,2024-10-04,2024-11-02,2024-10-04
inv_d510fc90,sub_7a4d54e9,cust_7c6b02b2,2024-11-03,2024-12-03,2024-11-18,6,0.0,6.0,paid,2024-11-03,2024-12-02,2024-11-03
inv_4b132c39,sub_7a4d54e9,cust_7c6b02b2,2024-12-03,2025-01-02,2024-12-12,6,0.6000000000000001,5.4,paid,2024-12-03,2025-01-01,2024-12-03
inv_8816c24f,sub_4c8dc7af,cust_4c523fa7,2024-04-04,2024-05-04,2024-05-04,4140,414.0,3726.0,paid,2024-04-04,2025-04-03,2024-04-04
inv_bb11c607,sub_8a394840,cust_ec60abff,2024-09-21,2024-10-21,2024-10-12,74520,0.0,74520.0,paid,2024-09-21,2025-09-20,2024-09-21
inv_8761b910,sub_7a37918c,cust_6f248c53,2024-08-15,2024-09-14,,450,0.0,450.0,overdue,2024-08-15,2024-09-13,2024-08-15
inv_c865c5bd,sub_7a37918c,cust_6f248c53,2024-09-14,2024-10-14,2024-10-07,450,0.0,450.0,paid,2024-09-14,2024-10-13,2024-09-14
inv_9c17ba88,sub_7a37918c,cust_6f248c53,2024-10-14,2024-11-13,2024-10-31,450,90.0,360.0,paid,2024-10-14,2024-11-12,2024-10-14
inv_21dec95c,sub_7a37918c,cust_6f248c53,2024-11-13,2024-12-13,2024-12-02,450,0.0,450.0,paid,2024-11-13,2024-12-12,2024-11-13
inv_e70471c9,sub_7a37918c,cust_6f248c53,2024-12-13,2025-01-12,2025-01-02,450,112.5,337.5,paid,2024-12-13,2025-01-11,2024-12-13
inv_466214b1,sub_44150d67,cust_2d96b248,2024-07-06,2024-08-05,2024-07-07,10476,1047.6000000000001,9428.4,paid,2024-07-06,2024-08-04,2024-07-06
inv_f8c2e719,sub_44150d67,cust_2d96b248,2024-08-05,2024-09-04,2024-08-09,10476,2095.2000000000003,8380.8,paid,2024-08-05,2024-09-03,2024-08-05
inv_3541e390,sub_44150d67,cust_2d96b248,2024-09-04,2024-10-04,2024-09-26,10476,0.0,10476.0,paid,2024-09-04,2024-10-03,2024-09-04
inv_88c3e66c,sub_44150d67,cust_2d96b248,2024-10-04,2024-11-03,2024-10-29,10476,0.0,10476.0,paid,2024-10-04,2024-11-02,2024-10-04
inv_c75cd4d4,sub_44150d67,cust_2d96b248,2024-11-03,2024-12-03,2024-11-11,10476,1047.6000000000001,9428.4,paid,2024-11-03,2024-12-02,2024-11-03
inv_7a7f14b4,sub_44150d67,cust_2d96b248,2024-12-03,2025-01-02,2024-12-27,10476,0.0,10476.0,paid,2024-12-03,2025-01-01,2024-12-03
inv_1e3b3eda,sub_bee25379,cust_f36c9bd0,2024-04-10,2024-05-10,2024-04-24,0,0.0,0.0,paid,2024-04-10,2024-05-09,2024-04-10
inv_b72f222e,sub_bee25379,cust_f36c9bd0,2024-05-10,2024-06-09,2024-05-19,0,0.0,0.0,paid,2024-05-10,2024-06-08,2024-05-10
inv_f92eaf7e,sub_bee25379,cust_f36c9bd0,2024-06-09,2024-07-09,2024-06-12,0,0.0,0.0,paid,2024-06-09,2024-07-08,2024-06-09
inv_2fb78481,sub_bee25379,cust_f36c9bd0,2024-07-09,2024-08-08,2024-07-30,0,0.0,0.0,paid,2024-07-09,2024-08-07,2024-07-09
inv_9deddc76,sub_bee25379,cust_f36c9bd0,2024-08-08,2024-09-07,2024-08-19,0,0.0,0.0,paid,2024-08-08,2024-09-06,2024-08-08
inv_eb3c244d,sub_bee25379,cust_f36c9bd0,2024-09-07,2024-10-07,2024-09-12,0,0.0,0.0,paid,2024-09-07,2024-10-06,2024-09-07
inv_e61a2b10,sub_bee25379,cust_f36c9bd0,2024-10-07,2024-11-06,2024-10-14,0,0.0,0.0,paid,2024-10-07,2024-11-05,2024-10-07
inv_78c2af2f,sub_bee25379,cust_f36c9bd0,2024-11-06,2024-12-06,2024-11-28,0,0.0,0.0,paid,2024-11-06,2024-12-05,2024-11-06
inv_7e35780d,sub_bee25379,cust_f36c9bd0,2024-12-06,2025-01-05,2024-12-12,0,0.0,0.0,paid,2024-12-06,2025-01-04,2024-12-06
inv_4876a45d,sub_245c7699,cust_7480121e,2024-05-28,2024-06-27,2024-06-23,18480,0.0,18480.0,paid,2024-05-28,2024-06-26,2024-05-28
inv_e1159d86,sub_245c7699,cust_7480121e,2024-06-27,2024-07-27,2024-07-18,18480,0.0,18480.0,paid,2024-06-27,2024-07-26,2024-06-27
inv_ce59103d,sub_245c7699,cust_7480121e,2024-07-27,2024-08-26,2024-07-29,18480,4620.0,13860.0,paid,2024-07-27,2024-08-25,2024-07-27
inv_36d56b2e,sub_245c7699,cust_7480121e,2024-08-26,2024-09-25,2024-09-07,18480,1848.0,16632.0,paid,2024-08-26,2024-09-24,2024-08-26
inv_f198843c,sub_245c7699,cust_7480121e,2024-09-25,2024-10-25,2024-10-23,18480,1848.0,16632.0,paid,2024-09-25,2024-10-24,2024-09-25
inv_471ab6a5,sub_245c7699,cust_7480121e,2024-10-25,2024-11-24,2024-11-18,18480,0.0,18480.0,paid,2024-10-25,2024-11-23,2024-10-25
inv_897cb329,sub_245c7699,cust_7480121e,2024-11-24,2024-12-24,2024-12-11,18480,4620.0,13860.0,paid,2024-11-24,2024-12-23,2024-11-24
inv_7fd464ad,sub_245c7699,cust_7480121e,2024-12-24,2025-01-23,2025-01-12,18480,0.0,18480.0,paid,2024-12-24,2025-01-22,2024-12-24
inv_63fae964,sub_48652d22,cust_acd87ed1,2024-09-19,2024-10-19,2024-10-01,192,19.200000000000003,172.8,paid,2024-09-19,2024-10-18,2024-09-19
inv_b218dec5,sub_48652d22,cust_acd87ed1,2024-10-19,2024-11-18,2024-10-24,192,0.0,192.0,paid,2024-10-19,2024-11-17,2024-10-19
inv_f0f5651b,sub_48652d22,cust_acd87ed1,2024-11-18,2024-12-18,2024-12-09,192,19.200000000000003,172.8,paid,2024-11-18,2024-12-17,2024-11-18
inv_918d20da,sub_48652d22,cust_acd87ed1,2024-12-18,2025-01-17,2024-12-21,192,0.0,192.0,paid,2024-12-18,2025-01-16,2024-12-18
inv_546b2527,sub_20beb791,cust_272c2751,2024-11-06,2024-12-06,2024-11-10,289620,0.0,289620.0,paid,2024-11-06,2025-11-05,2024-11-06
inv_f0a01db8,sub_51fefaee,cust_43801b16,2024-06-09,2024-07-09,2024-06-29,6048,0.0,6048.0,paid,2024-06-09,2024-07-08,2024-06-09
inv_3d174a28,sub_51fefaee,cust_43801b16,2024-07-09,2024-08-08,2024-08-05,6048,0.0,6048.0,paid,2024-07-09,2024-08-07,2024-07-09
inv_dbad262c,sub_51fefaee,cust_43801b16,2024-08-08,2024-09-07,2024-08-17,6048,1209.6000000000001,4838.4,paid,2024-08-08,2024-09-06,2024-08-08
inv_c1ffbd52,sub_51fefaee,cust_43801b16,2024-09-07,2024-10-07,2024-10-05,6048,0.0,6048.0,paid,2024-09-07,2024-10-06,2024-09-07
inv_6c3198ae,sub_51fefaee,cust_43801b16,2024-10-07,2024-11-06,,6048,1209.6000000000001,4838.4,overdue,2024-10-07,2024-11-05,2024-10-07
inv_da5f6b96,sub_51fefaee,cust_43801b16,2024-11-06,2024-12-06,2024-12-04,6048,0.0,6048.0,paid,2024-11-06,2024-12-05,2024-11-06
inv_e0dea3ee,sub_51fefaee,cust_43801b16,2024-12-06,2025-01-05,2024-12-16,6048,0.0,6048.0,paid,2024-12-06,2025-01-04,2024-12-06
inv_344d4ec1,sub_ee7b81ad,cust_f50a6b99,2024-07-19,2024-08-18,2024-08-11,0,0.0,0.0,paid,2024-07-19,2025-07-18,2024-07-19
inv_4a8930b8,sub_b50f8ba6,cust_e34a20f8,2024-01-04,2024-02-03,2024-02-03,378,75.60000000000001,302.4,paid,2024-01-04,2024-02-02,2024-01-04
inv_d67a439b,sub_b50f8ba6,cust_e34a20f8,2024-02-03,2024-03-04,2024-02-04,378,75.60000000000001,302.4,paid,2024-02-03,2024-03-03,2024-02-03
inv_20a56514,sub_b50f8ba6,cust_e34a20f8,2024-03-04,2024-04-03,2024-03-11,378,0.0,378.0,paid,2024-03-04,2024-04-02,2024-03-04
inv_b2f2aeb7,sub_b50f8ba6,cust_e34a20f8,2024-04-03,2024-05-03,2024-04-08,378,0.0,378.0,paid,2024-04-03,2024-05-02,2024-04-03
inv_38a3478d,sub_b50f8ba6,cust_e34a20f8,2024-05-03,2024-06-02,2024-05-14,378,0.0,378.0,paid,2024-05-03,2024-06-01,2024-05-03
inv_7c2e4286,sub_b50f8ba6,cust_e34a20f8,2024-06-02,2024-07-02,2024-07-01,378,75.60000000000001,302.4,paid,2024-06-02,2024-07-01,2024-06-02
inv_0dd652f8,sub_b50f8ba6,cust_e34a20f8,2024-07-02,2024-08-01,2024-07-28,378,0.0,378.0,paid,2024-07-02,2024-07-31,2024-07-02
inv_97b8f457,sub_b50f8ba6,cust_e34a20f8,2024-08-01,2024-08-31,2024-08-24,378,75.60000000000001,302.4,paid,2024-08-01,2024-08-30,2024-08-01
inv_62b27122,sub_b50f8ba6,cust_e34a20f8,2024-08-31,2024-09-30,2024-09-12,378,37.800000000000004,340.2,paid,2024-08-31,2024-09-29,2024-08-31
inv_40801cbb,sub_b50f8ba6,cust_e34a20f8,2024-09-30,2024-10-30,2024-10-20,378,94.5,283.5,paid,2024-09-30,2024-10-29,2024-09-30
inv_70676577,sub_b50f8ba6,cust_e34a20f8,2024-10-30,2024-11-29,2024-11-28,378,37.800000000000004,340.2,paid,2024-10-30,2024-11-28,2024-10-30
inv_b01f07e4,sub_b50f8ba6,cust_e34a20f8,2024-11-29,2024-12-29,2024-12-08,378,0.0,378.0,paid,2024-11-29,2024-12-28,2024-11-29
inv_96d6d6a8,sub_b50f8ba6,cust_e34a20f8,2024-12-29,2025-01-28,2025-01-14,378,37.800000000000004,340.2,paid,2024-12-29,2025-01-27,2024-12-29
inv_ac773d22,sub_32e1c88d,cust_9ed24e0e,2024-11-19,2024-12-19,2024-12-03,55260,0.0,55260.0,paid,2024-11-19,2025-11-18,2024-11-19
inv_af47920c,sub_46643c65,cust_8ea4faec,2024-04-06,2024-05-06,2024-05-05,1512,0.0,1512.0,paid,2024-04-06,2024-05-05,2024-04-06
inv_da2873ab,sub_46643c65,cust_8ea4faec,2024-05-06,2024-06-05,2024-05-08,1512,378.0,1134.0,paid,2024-05-06,2024-06-04,2024-05-06
inv_d5916bb2,sub_46643c65,cust_8ea4faec,2024-06-05,2024-07-05,2024-06-12,1512,0.0,1512.0,paid,2024-06-05,2024-07-04,2024-06-05
inv_76753339,sub_46643c65,cust_8ea4faec,2024-07-05,2024-08-04,2024-07-27,1512,0.0,1512.0,paid,2024-07-05,2024-08-03,2024-07-05
inv_be8c0a45,sub_46643c65,cust_8ea4faec,2024-08-04,2024-09-03,2024-08-20,1512,0.0,1512.0,paid,2024-08-04,2024-09-02,2024-08-04
inv_e1c30c6a,sub_46643c65,cust_8ea4faec,2024-09-03,2024-10-03,2024-09-26,1512,0.0,1512.0,paid,2024-09-03,2024-10-02,2024-09-03
inv_d93720fc,sub_46643c65,cust_8ea4faec,2024-10-03,2024-11-02,2024-10-21,1512,0.0,1512.0,paid,2024-10-03,2024-11-01,2024-10-03
inv_6ba41f21,sub_46643c65,cust_8ea4faec,2024-11-02,2024-12-02,2024-12-01,1512,0.0,1512.0,paid,2024-11-02,2024-12-01,2024-11-02
inv_4df1636f,sub_46643c65,cust_8ea4faec,2024-12-02,2025-01-01,2024-12-14,1512,0.0,1512.0,paid,2024-12-02,2024-12-31,2024-12-02
inv_00e7ffdb,sub_99170940,cust_57dd4ce6,2024-02-06,2024-03-07,2024-02-08,297180,0.0,297180.0,paid,2024-02-06,2025-02-04,2024-02-06
inv_266c428e,sub_c795b76e,cust_eee9f32f,2024-09-18,2024-10-18,2024-09-19,521760,0.0,521760.0,paid,2024-09-18,2025-09-17,2024-09-18
inv_dbc65503,sub_6eeaa021,cust_b2751f47,2024-01-30,2024-02-29,2024-02-28,456,0.0,456.0,paid,2024-01-30,2024-02-28,2024-01-30
inv_c02b5f60,sub_6eeaa021,cust_b2751f47,2024-02-29,2024-03-30,2024-03-02,456,45.6,410.4,paid,2024-02-29,2024-03-29,2024-02-29
