payment_id,invoice_id,customer_id,amount,currency,payment_method,payment_date,stripe_charge_id,status,created_at
pay_36e1672f,inv_10bfa453,cust_3f380b72,148230.0,USD,ach,2024-07-29,ch_fa75f3ec-d6e8-4d,succeeded,2024-07-29
pay_25419bce,inv_18da6ee3,cust_78e35adb,15667.2,USD,card,2024-08-27,ch_b7040529-c24f-45,succeeded,2024-08-27
pay_9743a11f,inv_71c67e3f,cust_78e35adb,14688.0,USD,card,2024-10-07,ch_cbd68e13-9f9e-4e,succeeded,2024-10-07
pay_7d728281,inv_e588ed11,cust_78e35adb,17625.6,USD,wire_transfer,2024-10-30,ch_ae1ebf75-a05c-47,succeeded,2024-10-30
pay_0aa99f45,inv_052711eb,cust_78e35adb,19584.0,USD,wire_transfer,2024-11-29,ch_644e50c6-ab36-4c,succeeded,2024-11-29
pay_08d547ab,inv_a718e947,cust_78e35adb,19584.0,USD,wire_transfer,2024-12-10,ch_7ade1382-38da-46,succeeded,2024-12-10
pay_c87fa36d,inv_f3c0afdf,cust_0a9a3d5d,6.0,USD,card,2024-10-18,ch_b7c52ba3-2ff5-49,succeeded,2024-10-18
pay_f2608007,inv_cc2bfe56,cust_0a9a3d5d,6.0,USD,card,2024-11-18,ch_9619fcc2-5c7c-47,succeeded,2024-11-18
pay_8c275bb1,inv_a898d600,cust_0a9a3d5d,6.0,USD,card,2024-12-05,ch_83cec400-a459-42,succeeded,2024-12-05
pay_bfa9e772,inv_7ae16001,cust_0a9a3d5d,6.0,USD,wire_transfer,2025-01-13,ch_da2a4f11-e330-43,succeeded,2025-01-13
pay_00a75f17,inv_773dbb1f,cust_408dbc4b,0.0,USD,card,2024-06-08,ch_60994c2c-5afa-4a,succeeded,2024-06-08
pay_58fe86cf,inv_af5b735e,cust_408dbc4b,0.0,USD,wire_transfer,2024-07-10,ch_7794ea93-26f4-4b,succeeded,2024-07-10
pay_7c629ce9,inv_b9394abe,cust_408dbc4b,0.0,USD,card,2024-07-26,ch_96c1827b-46a1-40,succeeded,2024-07-26
pay_dca28a3e,inv_1e51ca49,cust_408dbc4b,0.0,USD,wire_transfer,2024-09-06,ch_21416a54-5254-47,succeeded,2024-09-06
pay_96819675,inv_85f6da57,cust_408dbc4b,0.0,USD,ach,2024-10-14,ch_3bd7576e-3300-41,succeeded,2024-10-14
pay_1824d438,inv_e99a65f9,cust_408dbc4b,0.0,USD,ach,2024-11-07,ch_076e5eae-9baf-4c,succeeded,2024-11-07
pay_12ac2bc9,inv_313180c8,cust_408dbc4b,0.0,USD,card,2024-11-27,ch_a7157419-34f8-4f,succeeded,2024-11-27
pay_d95e5ef1,inv_a12b1d4f,cust_408dbc4b,0.0,USD,wire_transfer,2024-12-31,ch_de18735a-8413-4f,succeeded,2024-12-31
pay_41251f80,inv_f8588a6a,cust_7c6b02b2,6.0,USD,wire_transfer,2024-07-23,ch_062cf313-d9c5-43,succeeded,2024-07-23
pay_48e1b01c,inv_2bda9fc0,cust_7c6b02b2,4.8,USD,card,2024-08-17,ch_dfde627b-cf90-40,succeeded,2024-08-17
pay_7ee87a70,inv_19d8d051,cust_7c6b02b2,4.8,USD,card,2024-09-21,ch_a57bfe36-154c-40,succeeded,2024-09-21
pay_089c8374,inv_fe995360,cust_7c6b02b2,6.0,USD,wire_transfer,2024-10-16,ch_53851485-e59e-46,succeeded,2024-10-16
pay_3bc5a1bd,inv_d510fc90,cust_7c6b02b2,6.0,USD,ach,2024-11-18,ch_94b0494a-8158-43,succeeded,2024-11-18
pay_1fd71bf1,inv_4b132c39,cust_7c6b02b2,5.4,USD,wire_transfer,2024-12-12,ch_08c591a4-8414-49,succeeded,2024-12-12
pay_2072928f,inv_8816c24f,cust_4c523fa7,3726.0,USD,wire_transfer,2024-05-04,ch_ad290405-21d0-4c,succeeded,2024-05-04
pay_c2bb49cd,inv_bb11c607,cust_ec60abff,74520.0,USD,ach,2024-10-12,ch_b593bba2-da82-40,succeeded,2024-10-12
pay_01eef609,inv_c865c5bd,cust_6f248c53,450.0,USD,wire_transfer,2024-10-07,ch_3754117e-3f1a-40,succeeded,2024-10-07
pay_b452eef7,inv_9c17ba88,cust_6f248c53,360.0,USD,ach,2024-10-31,ch_169efd85-580c-47,succeeded,2024-10-31
pay_d101f33d,inv_21dec95c,cust_6f248c53,450.0,USD,wire_transfer,2024-12-02,ch_d34ae6fb-14ea-49,succeeded,2024-12-02
pay_076efcc4,inv_e70471c9,cust_6f248c53,337.5,USD,wire_transfer,2025-01-02,ch_ff2d9bd1-33b6-47,succeeded,2025-01-02
pay_466a30d9,inv_466214b1,cust_2d96b248,9428.4,USD,wire_transfer,2024-07-07,ch_b1d38ccb-7ad7-4f,succeeded,2024-07-07
pay_2069b43a,inv_f8c2e719,cust_2d96b248,8380.8,USD,card,2024-08-09,ch_878bea0b-28ee-4b,succeeded,2024-08-09
pay_530772de,inv_3541e390,cust_2d96b248,10476.0,USD,wire_transfer,2024-09-26,ch_dcfd1517-e318-46,succeeded,2024-09-26
pay_b92759c9,inv_88c3e66c,cust_2d96b248,10476.0,USD,ach,2024-10-29,ch_2852acf6-b1fc-40,succeeded,2024-10-29
pay_da29af68,inv_c75cd4d4,cust_2d96b248,9428.4,USD,wire_transfer,2024-11-11,ch_61d932d7-33a9-44,succeeded,2024-11-11
