subscription_id,customer_id,plan_id,billing_cycle,user_count,start_date,end_date,status,created_at,updated_at
sub_83cefbca,cust_3f380b72,business,annual,915,2024-07-27,,active,2024-07-27,2024-12-28
sub_bc8e8bfd,cust_78e35adb,enterprise,monthly,408,2024-08-11,,active,2024-08-11,2024-09-28
sub_fb1a76b8,cust_0a9a3d5d,premium,monthly,1,2024-09-26,,active,2024-09-26,2024-11-07
sub_0a4ddfb8,cust_408dbc4b,personal,monthly,1,2024-05-26,,active,2024-05-26,2024-12-30
sub_7a4d54e9,cust_7c6b02b2,premium,monthly,1,2024-07-06,,active,2024-07-06,2024-12-02
sub_4c8dc7af,cust_4c523fa7,team,annual,69,2024-04-04,2024-09-12,churned,2024-04-04,2024-09-29
sub_8a394840,cust_ec60abff,business,annual,414,2024-09-21,,active,2024-09-21,2024-12-19
sub_7a37918c,cust_6f248c53,business,monthly,25,2024-08-15,,active,2024-08-15,2024-08-20
sub_44150d67,cust_2d96b248,team,monthly,1746,2024-07-06,,active,2024-07-06,2024-07-28
sub_bee25379,cust_f36c9bd0,personal,monthly,1,2024-04-10,,active,2024-04-10,2024-05-06
sub_245c7699,cust_7480121e,enterprise,monthly,385,2024-05-28,,active,2024-05-28,2024-08-21
sub_48652d22,cust_acd87ed1,enterprise,monthly,4,2024-09-19,,active,2024-09-19,2024-11-02
sub_20beb791,cust_272c2751,business,annual,1609,2024-11-06,,active,2024-11-06,2024-12-06
sub_51fefaee,cust_43801b16,business,monthly,336,2024-06-09,,active,2024-06-09,2024-10-24
sub_ee7b81ad,cust_f50a6b99,personal,annual,1,2024-07-19,,active,2024-07-19,2024-10-31
sub_b50f8ba6,cust_e34a20f8,business,monthly,21,2024-01-04,,active,2024-01-04,2024-10-02
sub_32e1c88d,cust_9ed24e0e,business,annual,307,2024-11-19,,active,2024-11-19,2024-12-01
sub_46643c65,cust_8ea4faec,business,monthly,84,2024-04-06,,active,2024-04-06,2024-07-26
sub_99170940,cust_57dd4ce6,business,annual,1651,2024-02-06,,active,2024-02-06,2024-07-09
sub_c795b76e,cust_eee9f32f,enterprise,annual,1087,2024-09-18,,active,2024-09-18,2024-11-23
sub_6eeaa021,cust_b2751f47,team,monthly,76,2024-01-30,,active,2024-01-30,2024-09-01
sub_2da321a9,cust_b021cd2e,team,annual,22,2024-03-10,,active,2024-03-10,2024-09-11
sub_dc5ba4a7,cust_14834ed5,business,monthly,1633,2024-05-01,,active,2024-05-01,2024-09-15
sub_86e433f8,cust_c32f811b,business,monthly,210,2024-03-25,2024-12-02,churned,2024-03-25,2024-07-07
sub_68a995c1,cust_b0adf157,team,annual,68,2024-03-11,,active,2024-03-11,2024-12-25
sub_46488207,cust_d2e02d1f,business,monthly,11,2024-09-22,,active,2024-09-22,2024-10-28
sub_c27a6f4f,cust_e23de2a1,enterprise,monthly,448,2024-07-12,,active,2024-07-12,2024-12-02
sub_8e353f5c,cust_d50dd54e,enterprise,monthly,1357,2024-03-18,,active,2024-03-18,2024-06-17
sub_0a747e69,cust_8ba70002,business,monthly,15,2024-10-12,,active,2024-10-12,2024-11-04
sub_23f1888a,cust_bd64e7a6,business,annual,150,2024-04-13,,active,2024-04-13,2024-07-02
