usage_id,subscription_id,customer_id,month,devices_connected,data_transfer_gb,active_users,connection_hours,created_at
usage_10b7c08f,sub_83cefbca,cust_3f380b72,2024-07-01,2901,339524.63,915,1252211.71,2024-07-04
usage_6314faff,sub_83cefbca,cust_3f380b72,2024-08-01,2116,776809.19,915,1055305.78,2024-08-04
usage_945b7df7,sub_83cefbca,cust_3f380b72,2024-09-01,2100,45468.79,915,818210.17,2024-09-04
usage_d5262dae,sub_83cefbca,cust_3f380b72,2024-10-01,1301,647010.45,915,146690.92,2024-10-03
usage_67e315ae,sub_83cefbca,cust_3f380b72,2024-11-01,2085,189611.22,915,894658.27,2024-11-02
usage_098fff26,sub_83cefbca,cust_3f380b72,2024-12-01,1789,822412.83,915,721438.07,2024-12-03
usage_b5116f3f,sub_bc8e8bfd,cust_78e35adb,2024-08-01,1142,261460.82,408,532025.06,2024-08-05
usage_7e836f4c,sub_bc8e8bfd,cust_78e35adb,2024-09-01,1617,483874.86,408,336103.85,2024-09-04
usage_184d5bbe,sub_bc8e8bfd,cust_78e35adb,2024-10-01,1429,17642.03,408,464269.6,2024-10-02
usage_cdc2435c,sub_bc8e8bfd,cust_78e35adb,2024-11-01,429,121817.28,408,103159.76,2024-11-04
usage_4fd07b6c,sub_bc8e8bfd,cust_78e35adb,2024-12-01,409,143816.24,408,41696.01,2024-12-04
usage_764a5224,sub_fb1a76b8,cust_0a9a3d5d,2024-09-01,1,285.54,1,224.66,2024-09-04
usage_68e2e683,sub_fb1a76b8,cust_0a9a3d5d,2024-10-01,1,455.34,1,338.65,2024-10-03
usage_e8dad59d,sub_fb1a76b8,cust_0a9a3d5d,2024-11-01,3,942.05,1,1298.92,2024-11-04
usage_5a24623a,sub_fb1a76b8,cust_0a9a3d5d,2024-12-01,1,365.19,1,140.23,2024-12-03
usage_cf891c8a,sub_0a4ddfb8,cust_408dbc4b,2024-05-01,1,24.3,1,497.5,2024-05-03
usage_43e40517,sub_0a4ddfb8,cust_408dbc4b,2024-06-01,1,235.75,1,205.68,2024-06-06
usage_a9a9d296,sub_0a4ddfb8,cust_408dbc4b,2024-07-01,2,907.99,1,844.9,2024-07-04
usage_cbfdc935,sub_0a4ddfb8,cust_408dbc4b,2024-08-01,1,188.1,1,189.38,2024-08-03
usage_33f25676,sub_0a4ddfb8,cust_408dbc4b,2024-09-01,2,361.59,1,473.78,2024-09-02
usage_c217eefc,sub_0a4ddfb8,cust_408dbc4b,2024-10-01,2,977.26,1,838.55,2024-10-02
usage_f0450138,sub_0a4ddfb8,cust_408dbc4b,2024-11-01,2,96.82,1,732.45,2024-11-04
usage_b258234d,sub_0a4ddfb8,cust_408dbc4b,2024-12-01,1,380.34,1,187.97,2024-12-05
usage_cdbf61e4,sub_7a4d54e9,cust_7c6b02b2,2024-07-01,3,644.28,1,868.69,2024-07-06
usage_e0dbf0ca,sub_7a4d54e9,cust_7c6b02b2,2024-08-01,2,215.8,1,553.81,2024-08-05
usage_a374fd90,sub_7a4d54e9,cust_7c6b02b2,2024-09-01,1,424.47,1,367.12,2024-09-05
usage_446fd7f2,sub_7a4d54e9,cust_7c6b02b2,2024-10-01,1,363.74,1,447.8,2024-10-03
usage_2a5e5a9c,sub_7a4d54e9,cust_7c6b02b2,2024-11-01,2,119.47,1,802.61,2024-11-02
usage_422d68bc,sub_7a4d54e9,cust_7c6b02b2,2024-12-01,2,520.94,1,826.83,2024-12-05
usage_59aeb3f8,sub_4c8dc7af,cust_4c523fa7,2024-04-01,102,32079.38,69,12615.8,2024-04-06
usage_386fa188,sub_4c8dc7af,cust_4c523fa7,2024-05-01,127,28121.46,69,13725.02,2024-05-03
usage_081b3f6f,sub_4c8dc7af,cust_4c523fa7,2024-06-01,242,115049.7,69,66388.01,2024-06-05
usage_dc15f89d,sub_4c8dc7af,cust_4c523fa7,2024-07-01,205,5313.23,69,47554.27,2024-07-06
usage_a48c83c4,sub_4c8dc7af,cust_4c523fa7,2024-08-01,218,100207.14,69,32703.72,2024-08-05
usage_f98ebb85,sub_4c8dc7af,cust_4c523fa7,2024-09-01,168,9908.56,69,28441.96,2024-09-03
